S.NO,Localities,Addresses,PointofContact,ChargingSlots
1593,Hyatt Place Dewey Beach,"1301 Coastal HwyDewey Beach, DE 19971","Phone (302) 864-9100

                                                   ","Charging
2 Tesla Connectors"
1594,Hyatt Place Downtown Asheville,"199 Haywood StAsheville, NC 28801","Phone (828) 505-8500

                                                   ","Charging
2 Tesla Connectors"
1595,Hyatt Place Fremont/Silicon Valley,"3101 W Warren AveFremont, California 94538","Phone (510) 623-6000

                                                   ","Charging
4 Tesla Connectors"
1596,Hyatt Place Ft. Lauderdale Airport & Cruise Port,"91 SW 18th AveDania Beach, Florida 33004","Phone (954) 922-0436

                                                   ","Charging
1 Tesla Connector"
1597,Hyatt Place Houston NW Vintage Park,"20330   TX-249Houston, Texas 77070","Phone (832) 930-8090

                                                   ","Charging
2 Tesla Connectors"
1598,Hyatt Place Long Island / East End,"451 E Main StRiverhead, New York 11901","Phone (631) 208-0002

                                                   ","Charging
2 Tesla Connectors"
1599,Hyatt Place Memphis Wolfchase Galleria,"7905 Giacosa PlMemphis, Tennessee 38133","Phone (901) 371-0010

                                                   ","Charging
1 Tesla Connector"
1600,Hyatt Place Pittsburgh South Meadows Racetrack & Casino,"212 Racetrack RdWashington, Pennsylvania 15301","Phone (724) 470-9201

                                                   ","Charging
2 Tesla Connectors"
1601,Hyatt Place Reno Tahoe Airport,"1790 E Plumb LnReno, Nevada 89502","Phone (775) 826-2500

                                                   ","Charging
1 Tesla Connector"
1602,Hyatt Place Richmond / Chester,"13148 Kingston AveChester, Virginia 23836","Phone (804) 530-4600

                                                   ","Charging
2 Tesla Connectors"
1603,Hyatt Place Richmond Airport,"4401 S Laburnum AveRichmond, Virginia 23231","Phone (804) 549-4865

                                                   ","Charging
1 Tesla Connector"
1604,Hyatt Place Salt Lake City Airport,"52 N Tommy Thompson RdSalt Lake City, Utah 84116","Phone (801) 363-1400

                                                   ","Charging
2 Tesla Connectors"
1605,Hyatt Place Sarasota Bradenton Int'l Airport,"950 University PkwySarasota, Florida","Phone (941) 554-5800

                                                   ","Charging
6 Tesla Connectors"
1606,Hyatt Place St Petersburg,"25 2nd St NSt. Petersburg, Florida 33701","Phone (727) 220-0950

                                                   ","Charging
2 Tesla Connectors"
1607,Hyatt Place West Palm Beach/Downtown,"295 Lakeview AveWest Palm Beach, Florida 33401","Phone (561) 655-1454

                                                   ","Charging
1 Tesla Connector"
1608,Hyatt Regency Austin,"208 Barton Springs RdAustin, TX 78704","Phone (512) 477-1234

                                                   ","Charging
3 Tesla Connectors"
1609,Hyatt Regency Baltimore,"300 Light StBaltimore, MD 21202","Phone (410) 528-1234

                                                   ","Charging
3 Tesla Connectors"
1610,Hyatt Regency Coconut Point Resort & Spa,"5001 Coconut RdBonita Springs, FL 34134","Phone (239) 444-1234

                                                   ","Charging
3 Tesla Connectors"
1611,Hyatt Regency Coral Gables Miami,"50 Alhambra PlazaCoral Gables, FL 33134","Phone (305) 441-1234

                                                   ","Charging
4 Tesla Connectors"
1612,Hyatt Regency Dallas,"300 Reunion BlvdDallas, TX 75207","Phone (214) 651-1234

                                                   ","Charging
2 Tesla Connectors"
1613,Hyatt Regency Greenwich,"1800 E Putnam AveGreenwich, CT 06870","Phone (203) 637-1234

                                                   ","Charging
2 Tesla Connectors"
1614,Hyatt Regency Hill Country Resort and Spa,"9800 Hyatt Resort DrSan Antonio, Texas 78251","Phone (210) 647-1234

                                                   ","Charging
2 Tesla Connectors"
1615,Hyatt Regency Houston,"1200 Louisiana StHouston, TX 77002","Phone (713) 654-1234

                                                   ","Charging
2 Tesla Connectors"
1616,Hyatt Regency Houston Galleria,"2626 Sage RdHouston, TX 77056","Phone (832) 803-1234

                                                   ","Charging
2 Tesla Connectors"
1617,Hyatt Regency Huntington Beach,"21500 Pacific Coast HwyHuntington Beach, CA 92648","Phone (714) 698-1234

                                                   ","Charging
2 Tesla Connectors"
1618,Hyatt Regency Indian Wells Resort & Spa,"44600 Indian Wells LnIndian Wells,  92210","Phone (760) 341-1000

                                                   ","Charging
3 Tesla Connectors"
1619,Hyatt Regency Jersey City on the Hudson,"2 Exchange PlJersey City, NJ 07302","Phone (201) 469-1234

                                                   ","Charging
2 Tesla Connectors"
1620,Hyatt Regency La Jolla at Aventine,"3777 La Jolla Village DrSan Diego, CA 92122","Phone (858) 552-1234

                                                   ","Charging
4 Tesla Connectors"
1621,Hyatt Regency Lake Tahoe,"111 Country Club DrIncline Village, NV 89451","Phone (775) 832-1234

                                                   ","Charging
3 Tesla Connectors"
1622,Hyatt Regency Minneapolis,"1300 Nicollet MallMinneapolis, MN 55403","Phone (612) 370-1234

                                                   ","Charging
2 Tesla Connectors"
1623,Hyatt Regency Mission Bay Spa & Marina,"1441 Quivira RdSan Diego, California 92109","Phone (619) 224-1234

                                                   ","Charging
2 Tesla Connectors"
1624,Hyatt Regency Monterey Hotel and Spa,"1 Old Golf Course RdMonterey, CA 93940","Phone (831) 372-1234

                                                   ","Charging
2 Tesla Connectors"
1625,Hyatt Regency Newport Beach,"1107 Jamboree RdNewport Beach, CA 92660","Phone (949) 729-1234

                                                   ","Charging
2 Tesla Connectors"
1626,Hyatt Regency O'Hare,"9300 Bryn Mawr AveRosemont, IL 60018","Phone (847) 696-1234

                                                   ","Charging
2 Tesla Connectors"
1627,Hyatt Regency Orlando,"9801 International DrOrlando, FL 32819","Phone (407) 284-1234

                                                   ","Charging
2 Tesla Connectors"
1628,Hyatt Regency Pier Sixty Six,"2301 SE 17th StFort Lauderdale, FL 33316","Phone (954) 525-6666

                                                   ","Charging
2 Tesla Connectors"
1629,Hyatt Regency Sacramento,"1209 L StSacramento, California 95814","Phone (916) 443-1234

                                                   ","Charging
6 Tesla Connectors"
1630,Hyatt Regency San Antonio Riverwalk,"123 Losoya StSan Antonio, TX 78205","Phone (210) 222-1234

                                                   ","Charging
2 Tesla Connectors"
1631,Hyatt Regency Scottsdale Resort & Spa,"7500 E Doubletree Ranch RdScottsdale, AZ 85258","Phone (480) 444-1234

                                                   ","Charging
2 Tesla Connectors"
1632,Hyatt Regency Washington on Capitol Hill,"400 New Jersey Ave NWWashington, DC 20001","Phone (202) 737-1234

                                                   ","Charging
3 Tesla Connectors"
1633,Hyatt Regency Wichita,"400 W Waterman StWichita, KS 67202","Phone (316) 293-1234

                                                   ","Charging
1 Tesla Connector"
1634,Hyatt Vineyard Creek Hotel and Spa,"170 Railroad StSanta Rosa, CA 95401","Phone (707) 284-1234

                                                   ","Charging
2 Tesla Connectors"
1635,Hyatt Westlake Plaza,"880 S Westlake BlvdWestlake Village, CA 91361","Phone (805) 557-1234

                                                   ","Charging
2 Tesla Connectors"
1636,Hyland Estates,"20980 Northeast Niederberger RoadDundee, OR 97115","Phone (503) 554-4200

                                                   ","Charging
1 Tesla Connector"
1637,I Hotel and Conference Center,"1900 S 1st StChampaign, IL 61820","Phone (217) 819-5000

                                                   ","Charging
1 Tesla Connector"
1638,Icon 299 Peal Street Seaport Parking,"238 Pearl StNew York, NY 10069","Phone (212) 227-2215

                                                   ","Charging
2 Tesla Connectors"
1639,Icon 376 Greenwich Street,"376 Greenwich StNew York, New York 10013","Phone (212) 227-7035

                                                   ","Charging
2 Tesla Connectors"
1640,Icon 80 Riverside Blvd,"80 Riverside BlvdNew York, New York 10069","Phone (212) 245-1840

                                                   ","Charging
2 Tesla Connectors"
1641,Icon 9-11 Park Ave,"9 - 11 Park AveNew York, New York 10016","Phone (212) 725-5081

                                                   ","Charging
2 Tesla Connectors"
1642,Icon Liberty View Parking,"400 Murray StNew York, New York 10016","Phone (212) 842-2305

                                                   ","Charging
2 Tesla Connectors"
1643,Icon Parking 100 Riverside Blvd.,"100 Riverside BlvdNew York, NY 10024","Phone (212) 724-0107

                                                   ","Charging
2 Tesla Connectors"
1644,Icon Parking 101 West End Ave,"101 West End AveNew York, NY 10023","Phone (212) 874-8021

                                                   ","Charging
2 Tesla Connectors"
1645,Icon Parking 1056 5th Avenue,"10 E 87th StNew York, New York 10028","Phone (212) 534-9437

                                                   ","Charging
2 Tesla Connectors"
1646,Icon Parking 11 5th Ave,"11 5th AveNew York, NY 10003","Phone (212) 475-9562

                                                   ","Charging
2 Tesla Connectors"
1647,Icon Parking 111 8th Ave Parking,"385  W 15th StNew York, New York 10011","Phone (212) 929-8164

                                                   ","Charging
4 Tesla Connectors"
1648,Icon Parking 12 East 9th Street,"12 E 9th StNew York, NY 10003","Phone (212) 473-9751

                                                   ","Charging
2 Tesla Connectors"
1649,Icon Parking 1350 Avenue of the Americas,"1350 6th AveNew York, NY 10019","Phone (877) 727-5464

                                                   ","Charging
2 Tesla Connectors"
1650,Icon Parking 14-26 William Street,"14-26 William StNew York, New York 10004","Phone (212) 269-5056

                                                   ","Charging
2 Tesla Connectors"
1651,Icon Parking 150 Charles Street,"150 Charles StNew York, NY 10014","Phone (212) 414-4140

                                                   ","Charging
2 Tesla Connectors"
1652,Icon Parking 150 E 58th Street,"150 E 58th StNew York, New York 10155","Phone (212) 755-8678

                                                   ","Charging
2 Tesla Connectors"
1653,Icon Parking 155 E 29th Street,"155 E 29th StNew York, New York 10016","Phone (212) 684-8259

                                                   ","Charging
2 Tesla Connectors"
1654,Icon Parking 16 W 16th Street,"16 W 16th StNew York, NY 10011","Phone (212) 242-9635

                                                   ","Charging
2 Tesla Connectors"
1655,Icon Parking 169 W 95th Street,"169  W 95th StNew York, New York 10025","Phone (212) 749-6218

                                                   ","Charging
2 Tesla Connectors"
1656,Icon Parking 200 E 32nd Street,"200 E 32nd StManhattan, New York 10016","Phone (212) 684-2481

                                                   ","Charging
2 Tesla Connectors"
1657,Icon Parking 200 E 65th Street,"200 E 65th StNew York, New York 10021","Phone (212) 319-1485

                                                   ","Charging
2 Tesla Connectors"
1658,Icon Parking 203 E 61 Street,"203 E 61 StNew York, New York 10021","Phone (212) 308-9248

                                                   ","Charging
2 Tesla Connectors"
1659,Icon Parking 205 E 63rd St,"205  E 63rd StManhattan, New York 10065","Phone (212) 750-3535

                                                   ","Charging
2 Tesla Connectors"
1660,Icon Parking 220 Riverside Blvd,"220 Riverside BlvdNew York, NY 10024","Phone (212) 501-0016

                                                   ","Charging
2 Tesla Connectors"
1661,Icon Parking 225 W 83 Street,"225  W 83rd StNew York, New York 10024","Phone (212) 874-9934

                                                   ","Charging
2 Tesla Connectors"
1662,Icon Parking 237 West Thames,"237 W ThamesNew York, New York 10280","Phone (212) 786-4796

                                                   ","Charging
2 Tesla Connectors"
1663,Icon Parking 240 East Broadway,"188 Clinton StNew York, New York 10002","Phone (212) 253-0240

                                                   ","Charging
2 Tesla Connectors"
1664,Icon Parking 245 E 19th St.,"245 E 19th StNew York, NY 10010","Phone (212) 228-7973

                                                   ","Charging
2 Tesla Connectors"
1665,Icon Parking 279 East 65th Street,"279 E 65th StNew York, New York 10065","Phone (212) 644-7413

                                                   ","Charging
2 Tesla Connectors"
1666,Icon Parking 30 W 63rd St,"30 W 63rd StManhattan, New York 10023","Phone (212) 586-1660

                                                   ","Charging
2 Tesla Connectors"
1667,Icon Parking 300 E 59th Street,"300 E 59th StNew York, New York 10022","Phone (212) 980-0215

                                                   ","Charging
2 Tesla Connectors"
1668,Icon Parking 301 E 57 Street,"301 E 57th StNew York, New York 10022","Phone (212) 755-6223

                                                   ","Charging
2 Tesla Connectors"
1669,Icon Parking 308 Greenwich,"308 Greenwich StNew York, New York 10013","Phone (212) 227-6940

                                                   ","Charging
2 Tesla Connectors"
1670,Icon Parking 322 23rd Street,"318-322  E 23rd StNew York, New York 10010","Phone (212) 674-2918

                                                   ","Charging
2 Tesla Connectors"
1671,Icon Parking 330 E 39th Street,"330  E 39th StNew York, New York 10016","Phone (212) 599-8670

                                                   ","Charging
2 Tesla Connectors"
1672,Icon Parking 330 W 58th Street,"330 W 58th StNew York, NY 10019","Phone (212) 245-9634

                                                   ","Charging
2 Tesla Connectors"
1673,Icon Parking 35-39 East 61st Street,"35-39  E 61st StNew York, New York 10021","Phone (212) 980-3057

                                                   ","Charging
2 Tesla Connectors"
1674,Icon Parking 40 W 26th Street,"40 W 26th StNew York, New York 10010","Phone (212) 206-8749

                                                   ","Charging
2 Tesla Connectors"
1675,Icon Parking 5 E 22nd Street,"5  E 22nd StNew York, New York 10010","Phone (212) 674-9002

                                                   ","Charging
2 Tesla Connectors"
1676,Icon Parking 51 W 22nd,"51 W 22nd StNew York, NY 10010","Phone (646) 230-7263

                                                   ","Charging
2 Tesla Connectors"
1677,Icon Parking 515 E 72nd Street,"515  E 72nd StNew York, NY 10021","Phone (212) 249-8196

                                                   ","Charging
2 Tesla Connectors"
1678,Icon Parking 54 Murray Street,"54 Murray StNew York, New York 10007","Phone (212) 962-9011

                                                   ","Charging
2 Tesla Connectors"
1679,Icon Parking 55 W 14th Street,"55 W 14th StNew York, New York 10011","Phone (212) 242-9218

                                                   ","Charging
2 Tesla Connectors"
1680,Icon Parking 560 Third Ave,"560 3rd AveNew York, New York 10016","Phone (212) 599-9807

                                                   ","Charging
2 Tesla Connectors"
1681,Icon Parking 70 Gold Street,"80 Gold StNew York, New York 10038","Phone (212) 964-5250

                                                   ","Charging
2 Tesla Connectors"
1682,Icon Parking 810 Seventh Ave (Entrance on 207 W 52nd St),"207  W 52nd StNew York, New York 10019","Phone (212) 247-4372

                                                   ","Charging
2 Tesla Connectors"
1683,Icon Parking 990 Ave of the Americas,"990 Avenue of the AmericasNew York, New York 10018","Phone (212) 502-5908

                                                   ","Charging
2 Tesla Connectors"
1684,Icon Parking E 48th Street,"329 E 48th StNew York, NY 10017","Phone (877) 727-5464

                                                   ","Charging
2 Tesla Connectors"
1685,Icon Parking E 72nd Street,"515 E 72nd StNew York, New York 10021","Phone (212) 249-8196

                                                   ","Charging
2 Tesla Connectors"
1686,Icon Parking E 88th Street,"536 E 88th StNew York, NY 10128","Phone (877) 727-5464

                                                   ","Charging
2 Tesla Connectors"
1687,Icon Parking Independent,"417  E 71st StNew York, New York 10021","Phone (212) 288-6874

                                                   ","Charging
2 Tesla Connectors"
1688,Icon Parking Sutton 53,"417 E 53rd StNew York, New York 10022","Phone (212) 644-6312

                                                   ","Charging
2 Tesla Connectors"
1689,Icon Parking University 10 Parking (Entrance on 50 E 10th Street),"63  E 9th StNew York, New York 10003","Phone (212) 979-5380

                                                   ","Charging
2 Tesla Connectors"
1690,Icon Parking Wall Park,"39  Exchange PlNew York, New York 10005","Phone (212) 825-0700

                                                   ","Charging
2 Tesla Connectors"
1691,Il Gardino,"2105 W Great Neck RdVirginia Beach, Virginia 23451","Phone (757) 412-0203

                                                   ","Charging
2 Tesla Connectors"
1692,Il Giardino Ristorante,"2500 Tournament DrVirginia Beach, Virginia 23451","Phone (757) 563-9440

                                                   ","Charging
2 Tesla Connectors"
1693,Il Giardino Ristorante,"910 Atlantic AveVirginia Beach, Virginia 23456","Phone (757) 422-6464

                                                   ","Charging
4 Tesla Connectors"
1694,imPark 101 Bedford Ave,"101  Bedford AveBrooklyn, New York 11211","Phone (718) 387-1737

                                                   ","Charging
2 Tesla Connectors"
1695,imPark 422 E 79th Street,"422  E 79th StNew York, New York 10075","Phone (212) 737-6283

                                                   ","Charging
2 Tesla Connectors"
1696,imPark 611 E 83rd Street,"611 E 83rd StNew York, New York 10028","Phone (212) 249-5124

                                                   ","Charging
2 Tesla Connectors"
1697,Independence Golf Club,"600 Founders Bridge BlvdMidlothian, Virginia 23113","Phone (804) 601-8600

                                                   ","Charging
2 Tesla Connectors"
1698,Indian Wells Resort Hotel,"76661 California 111Palm Desert, CA 92260","Phone (800) 248-3220

                                                   ","Charging
3 Tesla Connectors"
1699,"Inn and Spa at Cedar Falls, a Select Registry Property","21190 Hwy 374Logan, OH 43138","Phone (740) 385-7489

                                                   ","Charging
1 Tesla Connector"
1700,Inn at Abeja,"2014 Mill Creek RdWalla Walla, WA 99362","Phone (509) 522-1234

                                                   ","Charging
1 Tesla Connector"
1701,"Inn at Bay Harbor, Autograph Collection","3600 Village Harbor DrBay Harbor, Michigan 49770","Phone (855) 811-4402

                                                   ","Charging
4 Tesla Connectors"
1702,"Inn at Bay Ledge, a Select Registry Property","150 Sand Point RdBar Harbor, Maine 04609","Phone (207) 288-4204

                                                   ","Charging
1 Tesla Connector"
1703,"Inn at Black Star Farms, a Select Registry Property","10844 E Revold RdSuttons Bay, MI 49682","Phone (231) 944-1251

                                                   ","Charging
1 Tesla Connector"
1704,Inn at Entrada,"2588 W Sinagua TrlSaint George, UT 84770","Phone (435) 634-7100

                                                   ","Charging
3 Tesla Connectors"
1705,Inn at Herr Ridge,"900 Chambersburg RdGettysburg, PA 17325","Phone (717) 334-4332

                                                   ","Charging
1 Tesla Connector"
1706,Inn at Horn Point,"100 Chesapeake AveAnnapolis, Maryland 21403","Phone (410) 268-1126

                                                   ","Charging
3 Tesla Connectors"
1707,Inn at Johnnycake Flats,"47 Carrie Howe RdRoxbury, Vermont 05669","Phone (802) 485-8961

                                                   ","Charging
1 Tesla Connector"
1708,"Inn at Lake Joseph, a Select Registry Property","162 Saint Josephs RdForestburgh, NY 12777","Phone (845) 791-9506

                                                   ","Charging
1 Tesla Connector"
1709,"Inn at Occidental, a Select Registry Property","3657 Church StOccidental, CA 95465","Phone (707) 874-1047

                                                   ","Charging
1 Tesla Connector"
1710,Inn at Park Winters,"27850 County Rd 26Winters, California 95694","Phone (530) 669-3692

                                                   ","Charging
3 Tesla Connectors"
1711,Inn at Pleasant Lake,"853 Pleasant StNew London, NH 03257","Phone (603) 873-4833

                                                   ","Charging
1 Tesla Connector"
1712,Inn at Red Hills,"410 Hwy 99WNewberg, OR 97132","Phone (503) 538-7666

                                                   ","Charging
1 Tesla Connector"
1713,"Inn at Riverbend, a Select Registry Property","125 River Ridge DrPearisburg, VA 24134","Phone (540) 921-5211

                                                   ","Charging
1 Tesla Connector"
1714,Inn at Saint Mary's,"53993 US 933South Bend, Indiana 46637","Phone (574) 232-4000

                                                   ","Charging
2 Tesla Connectors"
1715,"Inn at Stonington, a Select Registry Property","60 Water StStonington, CT 06378","Phone (860) 535-2000

                                                   ","Charging
1 Tesla Connector"
1716,"Inn at Westwynd Farm, a Select Registry Property","1620 Sand Beach RdHummelstown, PA 17036","Phone (717) 533-6764

                                                   ","Charging
1 Tesla Connector"
1717,"Inn by the Bandstand, a Select Registry Property","6 Front StExeter, NH 03833","Phone (603) 772-6352

                                                   ","Charging
1 Tesla Connector"
1718,Inn by the Sea,"40 Bowery Beach RdCape Elizabeth, ME 04107","Phone (207) 799-3134

                                                   ","Charging
1 Tesla Connector"
1719,Inn on Fifth,"699 5th Ave SNaples, Florida 34102","Phone (239) 403-8777

                                                   ","Charging
2 Tesla Connectors"
1720,Inn on Lake Granbury,"205 W Doyle StGranbury, TX 76048","Phone (817) 573-0046

                                                   ","Charging
1 Tesla Connector"
1721,Inn On Main,"88 S Main StWeaverville, North Carolina 28787","Phone (828) 645-4935

                                                   ","Charging
1 Tesla Connector"
1722,"Inn on Randolph, a Select Registry Property","411 Randolph StNapa, CA 94559","Phone (707) 257-2886

                                                   ","Charging
1 Tesla Connector"
1723,Inn Serendipity Bed & Breakfast and Farm,"W7843 County Rd PBrowntown, Wisconsin 53522","Phone (608) 329-7056

                                                   ","Charging
1 Tesla Connector"
1724,"Inns at Blackberry Common, a Select Registry property","82 Elm StCamden, ME 04843","Phone (207) 236-6060

                                                   ","Charging
1 Tesla Connector"
1725,InterContinental Buckhead Atlanta,"3315 Peachtree RdAtlanta, GA 30326","Phone (404) 946-9000

                                                   ","Charging
2 Tesla Connectors"
1726,"InterContinental Hotel Los Angeles, Century City at Beverly Hills","2151 Avenue of the StarsLos Angeles, CA 90067","Phone (310) 407-6888

                                                   ","Charging
2 Tesla Connectors"
1727,InterContinental Mark Hopkins San Francisco,"999 California StSan Francisco, CA 94108","Phone (415) 392-3434

                                                   ","Charging
2 Tesla Connectors"
1728,InterContinental Miami,"100 Chopin PlazaMiami, FL 33131","Phone (305) 577-1000

                                                   ","Charging
4 Tesla Connectors"
1729,InterContinental Milwaukee,"139 E Kilbourn AveMilwaukee, WI 53202","Phone (414) 276-8686

                                                   ","Charging
1 Tesla Connector"
1730,InterContinental Stephen F Austin Hotel,"701 Congress AveAustin, TX 78701","Phone (512) 457-8800

                                                   ","Charging
2 Tesla Connectors"
1731,iPark 10 West 15th,"10 W 15thNew York, New York 10011","Phone (212) 675-0335

                                                   ","Charging
2 Tesla Connectors"
1732,iPark 107 West 13th Street,"107 W 13th StNew York, New York 10011","Phone (646) 870-9022

                                                   ","Charging
2 Tesla Connectors"
1733,iPark 112 E 65th Street,"112 E 65th StNew York, New York 10065","Phone (646) 556-7342

                                                   ","Charging
2 Tesla Connectors"
1734,iPark 1510 Lex Garage Corp.,"116 E 98th StNew York, New York 10029","Phone (212) 289-6257

                                                   ","Charging
3 Tesla Connectors"
1735,iPark 200 E 70th Street,"200 E 70th StManhattan, New York 10021","Phone (212) 535-5908

                                                   ","Charging
2 Tesla Connectors"
1736,iPark 200 West Garage Corp.,"220 W 26th StNew York, NY 10001","Phone (646) 486-2148

                                                   ","Charging
2 Tesla Connectors"
1737,iPark 22/34 N 6th Garage Corp,"22 N 5th StBrooklyn, New York 11211","Phone (718) 218-7570

                                                   ","Charging
2 Tesla Connectors"
1738,iPark 245 East 63rd Street,"245 East 63rd StManhattan, New York 10025","Phone (212) 752-0485

                                                   ","Charging
2 Tesla Connectors"
1739,iPark 247 N 7th Street,"249 N 7th StBrooklyn, New York 11248","Phone (929) 337-8633

                                                   ","Charging
2 Tesla Connectors"
1740,iPark 3 E 67th Street,"3 E 67th StNew York, New York 10065","Phone (212) 650-0996

                                                   ","Charging
2 Tesla Connectors"
1741,iPark 34 N 7th Street,"34 N 7th StBrooklyn, New York 11249","Phone (718) 782-1494

                                                   ","Charging
8 Tesla Connectors"
1742,iPark 34 N 7th Street,"34  N 7th StBrooklyn, New York 11249","Phone (718) 782-1494

                                                   ","Charging
2 Tesla Connectors"
1743,iPark 386 E 48th Street,"386 E 48th StNew York, New York 11248","Phone (212) 813-0014

                                                   ","Charging
2 Tesla Connectors"
1744,iPark 41 E 85th Street,"41 E 85th StManhattan, New York 10028","Phone (212) 472-4713

                                                   ","Charging
2 Tesla Connectors"
1745,iPark 43-25 Hunter Street,"43-25 Hunter StLong Island City, New York 11101","Phone (347) 738-6170

                                                   ","Charging
8 Tesla Connectors"
1746,iPark 455 Central Park West,"27  W 105th StManhattan, New York 10025","Phone (212) 666-7246

                                                   ","Charging
2 Tesla Connectors"
1747,iPark 530 E 80th Street,"530 E 80th StNew York, New York 10075","Phone (212) 439-1580

                                                   ","Charging
2 Tesla Connectors"
1748,iPark 59-63 Allen Street,"59-63 Allen StNew York, New York 10002","Phone (212) 226-1793

                                                   ","Charging
2 Tesla Connectors"
1749,iPark 650 Parking Corp,"80  E 67th StNew York, New York 10065","Phone (212) 472-2596

                                                   ","Charging
2 Tesla Connectors"
1750,iPark Eleventh Avenue Garage Corp.,"552 W 30th StManhattan, New York 10001","Phone (212) 967-7872

                                                   ","Charging
2 Tesla Connectors"
1751,iPark NYC 1025 83rd,"11 E 83rd stNew York, NY 10028","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1752,iPark NYC 183 E 73rd Street,"184 E 73rd StNew York, New York 10021","Phone (212) 517-3534

                                                   ","Charging
2 Tesla Connectors"
1753,iPark NYC 2234 North 6th,"34 North 6th StBrooklyn, NY 11249","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1754,iPark NYC 246 E 45 Street,"246  E 45th StNew York, New York 10017","Phone (212) 599-8658

                                                   ","Charging
2 Tesla Connectors"
1755,iPark NYC 250 West Parking,"250 W 19th StNew York, NY 10011","Phone (212) 627-1704

                                                   ","Charging
2 Tesla Connectors"
1756,iPark NYC 333 E 38th NYU,"333 E 38th StNew York, NY 10016","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1757,iPark NYC 345 East Garage,"345 East 80th StNew York, NY 10075","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1758,iPark NYC 400 E 35th NYU,"400 E 35th StNew York, NY 10016","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1759,iPark NYC 425 E 58th Street,"425 E 58th StNew York, New York 10022","Phone (212) 838-4447

                                                   ","Charging
2 Tesla Connectors"
1760,iPark NYC 44 Elizabeth Street,"44 Elizabeth StNew York, NY 10013","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1761,iPark NYC 455 Central Park West,"27  West 105th StNew York, New York 10025","Phone (212) 666-7246

                                                   ","Charging
2 Tesla Connectors"
1762,iPark NYC 549 W 23rd Street,"New York, NY 10011","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1763,iPark NYC 555 West Garage Corp.,"549 W 23rd StNew York, NY 10011","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1764,iPark NYC 61 Jane Street,"New York, NY 10014","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1765,iPark NYC 75 Wall Street,"75 Wall StNew York, NY 10005","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1766,iPark NYC 88th Street Garage,"101 W 88th StNew York, New York 10024","Phone (212) 874-8442

                                                   ","Charging
2 Tesla Connectors"
1767,iPark NYC Central Harlem Garage Corp.,"49 W 116th StNew York, New York 10026","Phone (212) 860-7691

                                                   ","Charging
2 Tesla Connectors"
1768,iPark NYC E 77th Street,"New York, NY 10014","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1769,iPark NYC E 80th Street,"345 E 80th StNew York, NY 10075","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1770,iPark NYC The Carnegie Garage,"200 E 94th StNew York, NY 10128","Phone (855) 472-7569

                                                   ","Charging
2 Tesla Connectors"
1771,iPark NYU 377 E 33rd Street,"377 E 33rd StNew York, New York 10016","Phone (212) 532-3721

                                                   ","Charging
2 Tesla Connectors"
1772,"Iris Inn Bed & Breakfast, a Select Registry Property","191 Chinquapin DrWaynesboro, VA 22980","Phone (888) 585-9018

                                                   ","Charging
1 Tesla Connector"
1773,Iron State 221 W 29th Street,"221 W 29th StNew York, New York 10001","Phone (212) 966-4660

                                                   ","Charging
3 Tesla Connectors"
1774,Irvine Marriott,"18000 Von Karman AveIrvine, California 92612","Phone (949) 553-0100

                                                   ","Charging
3 Tesla Connectors"
1775,"Isaiah Jones Homestead Bed & Breakfast, a Select Registry Property","165 Main StSandwich, MA 02563","Phone (508) 888-9115

                                                   ","Charging
1 Tesla Connector"
1776,Island Athletic Club,"5511 S Freeland AveFreeland, Washington 98249","Phone (360) 331-2582

                                                   ","Charging
2 Tesla Connectors"
1777,Island Hotel,"690 Newport Center DrNewport Beach, CA 92660","Phone (949) 759-0808

                                                   ","Charging
1 Tesla Connector"
1778,Island View Casino Resort,"3305 W Beach BlvdGulfport, MS 39501","Phone (228) 314-2100

                                                   ","Charging
4 Tesla Connectors"
1779,Island View Casino Resort,"3300 W Beach BlvdGulfport, MS 39501","Phone 228-314-2100

                                                   ","Charging
4 Tesla Connectors"
1780,Italics Winegrowers,"70 Rapp LnNapa,  94558","Phone (707) 258-0106

                                                   ","Charging
1 Tesla Connector"
1781,Jackpot Junction Casino,"39375 County Rd 24Morton, MN 56270","Phone (800) 946-2274

                                                   ","Charging
4 Tesla Connectors"
1782,Jada Vineyard & Winery,"5620 Vineyard DrPaso Robles, California 93446","Phone (805) 226-4200

                                                   ","Charging
2 Tesla Connectors"
1783,Jail Hill Inn,"319 Meeker StGalena, IL 61036","Phone (815) 777-3000

                                                   ","Charging
1 Tesla Connector"
