,S.No,State,Locality,Directions,Assistance,No.of.Slots,lat,long,accuracy
432,432,Kansas,Hays KS Supercharger, 4101 Vine St Hays KS 67601, Roadside Assistance: (877) 798-3752,6,38.9005228,-99.3192454,establishment
433,433,Kansas,Overland Park KS Tesla Supercharger, Overland Park KS ,,NA,39.246326,-94.6449396,establishment
434,434,Kansas,Salina KS Supercharger, 755 W. Diamond Dr. Salina KS 67401, Roadside Assistance: (877) 798-3752,6,38.817596,-97.609449,establishment
435,435,Kansas,Topeka KS Supercharger, 5930 SW Huntoon St Topeka KS 66614, Roadside Assistance: (877) 798-3752,8,39.0440498,-95.7602249,establishment
436,436,Kansas,Wichita Kansas Supercharger, 4760 S. Broadway Street Wichita KS 67216, Roadside Assistance: (877) 798-3752,6,37.6088175,-97.3331591,establishment
437,437,Kansas City,Emporia KS Tesla Supercharger, Emporia KS ,,NA,39.0440498,-95.7602249,establishment
438,438,Kansas City,Olathe KS Tesla Supercharger, Olathe KS ,,NA,39.246326,-94.6449396,establishment
439,439,Kentucky,Bowling Green Supercharger, 1676 Westpark Drive Bowling Green KY 42104, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
440,440,Kentucky,Elizabethtown KY Tesla Supercharger, Elizabethtown KY ,,NA,38.2119875,-85.6731875,establishment
441,441,Kentucky,Kuttawa Supercharger, 62 Days Inn Dr Kuttawa KY 42055-5954, Roadside Assistance: (877) 798-3752,8,37.0734956,-88.1247644,establishment
442,442,Kentucky,Lexington Supercharger, 2155 Paul Jones Way Lexington KY 40509, Roadside Assistance: (877) 798-3752,8,38.0178185,-84.4210113,establishment
443,443,Kentucky,London Supercharger, 140 Faith Assembly Church Road London KY 40741, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
444,444,Kentucky,Louisville Supercharger, 2120 Gardiner Ln Louisville KY 40205, Roadside Assistance: (877) 798-3752,8,38.2119875,-85.6731875,establishment
445,445,Kentucky,Maysville KY Tesla Supercharger, Maysville KY ,,NA,37.6088175,-97.3331591,establishment
446,446,Louisiana,Alexandria Supercharger, 701 4th Street Alexandria LA 71301, Roadside Assistance: (877) 798-3752,8,38.6408382,-77.2963031,establishment
447,447,Louisiana,Baton Rouge Supercharger, 3535 Perkins Road Baton Rouge LA 70808, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
448,448,Louisiana,Lake Charles Supercharger, 1772 W Prien Lake Road Lake Charles LA 70601, Roadside Assistance: (877) 798-3752,6,30.1990691,-93.2488253,establishment
449,449,Louisiana,Monroe Supercharger, 4919 Pecanland Mall Drive Monroe LA 71203, Roadside Assistance: (877) 798-3752,8,32.4965864,-92.0551213,establishment
450,450,Louisiana,New Orleans LA Tesla Supercharger, New Orleans LA ,,NA,30.2665544,-89.7601153,establishment
451,451,Louisiana,Shreveport Supercharger, 1133 St. Vincent Ave. Shreveport LA 71104, Roadside Assistance: (877) 798-3752,8,32.4785803,-93.7543878,establishment
452,452,Louisiana,Slidell Supercharger, 1303 Town Center Pkwy Slidell LA 70458, Roadside Assistance: (877) 798-3752,8,30.2665544,-89.7601153,establishment
453,453,Maine,Augusta ME Supercharger, 197 Civic Center Drive Augusta ME 4330, Roadside Assistance: (877) 798-3752,8,44.347876,-69.78639,establishment
454,454,Maine,Bar Harbor ME Tesla Supercharger, Bar harbor ME ,,NA,44.7757839,-68.7346151,establishment
455,455,Maine,Baring ME Tesla Supercharger, Baring ME ,,NA,NA,NA,NA
456,456,Maine,Bethel ME Tesla Supercharger, Bethel ME ,,NA,44.7757839,-68.7346151,establishment
457,457,Maine,Brewer Supercharger, 5 Walton Dr Brewer ME 4412, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
458,458,Maine,Freeport ME Supercharger, 95 Main Street Freeport ME 04032-1217, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
459,459,Maine,Kennebunk ME Supercharger, 25.5 Mile Maine Turnpike Kennebunk ME 04043, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
460,460,Maine,Medway ME Tesla Supercharger, Medway ME ,,NA,37.6088175,-97.3331591,establishment
461,461,Maine,Portland ME Tesla Supercharger, Portland ME ,,NA,NA,NA,NA
462,462,Maine,Skowhegan ME Tesla Supercharger, Skowhegan ME ,,NA,NA,NA,NA
463,463,Maine,West Forks ME Tesla Supercharger, West Forks ME ,,NA,NA,NA,NA
464,464,Maryland,Aberdeen Supercharger, I-95 Aberdeen Maryland Aberdeen, Roadside Assistance: (877) 798-3752,8,39.4980145,-76.2312527,establishment
465,465,Maryland,Annapolis MD Tesla Supercharger, Annapolis MD ,,NA,NA,NA,NA
466,466,Maryland,Baltimore MD Tesla Supercharger, Baltimore MD ,,NA,NA,NA,NA
467,467,Maryland,Beltsville MD Tesla Supercharger, Beltsville MD ,,NA,39.0953567,-76.8582546,establishment
468,468,Maryland,Bethesda MD Tesla Supercharger, Bethesda MD ,,NA,NA,NA,NA
469,469,Maryland,Elkridge MD Tesla Supercharger, Elkridge MD ,,NA,NA,NA,NA
470,470,Maryland,Frederick MD Tesla Supercharger, Frederick MD ,,NA,39.6058643,-77.7333653,establishment
471,471,Maryland,Gaithersburg MD Supercharger, 9811 Washingtonian Blvd Gaithersburg MD 20878-7306, Roadside Assistance: (877) 798-3752,12,39.1181872,-77.2022876,establishment
472,472,Maryland,Grasonville Supercharger, 108 Jackson Creek Road Grasonville MD 21638-1086, Roadside Assistance: (877) 798-3752,12,NA,NA,NA
473,473,Maryland,Greenbelt MD Tesla Supercharger, Greenbelt MD ,,NA,39.0953567,-76.8582546,establishment
474,474,Maryland,Hagerstown MD Supercharger, 495 Prime Outlets Blvd Hagerstown MD 21740, Roadside Assistance: (877) 798-3752,6,39.6058643,-77.7333653,establishment
475,475,Maryland,Halethorpe MD Tesla Supercharger, Halethorpe MD ,,NA,39.4980145,-76.2312527,establishment
476,476,Maryland,Hanover MD Tesla Supercharger, Hanover MD ,,NA,NA,NA,NA
477,477,Maryland,La Vale Supercharger, 11601 Winchester Road La Vale MD 21502, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
478,478,Maryland,Laurel Supercharger, 14700 Baltimore Ave Laurel MD 20707, Roadside Assistance: (877) 798-3752,8,39.0953567,-76.8582546,establishment
479,479,Maryland,National Harbor MD Supercharger, 165 Waterfront Street National Harbor MD 20745, Roadside Assistance: (877) 798-3752,12,38.7857666,-77.0158114,establishment
480,480,Maryland,North East, MD Supercharger John F Kennedy Memorial Hwy North East MD 21901-0000, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
481,481,Maryland,Ocean City MD Tesla Supercharger, Ocean City MD ,,NA,NA,NA,NA
482,482,Maryland,Rossville MD Tesla Supercharger, Rossville MD ,,NA,39.4980145,-76.2312527,establishment
483,483,Maryland,Salisbury MD Supercharger, 2300 North Salisbury Blvd. Salisbury MD 21801, Roadside Assistance: (877) 798-3752,6,38.4017573,-75.5649231,establishment
484,484,Massachusets,Auburn Massachusetts Supercharger, 385 Southbridge St. Auburn MA 1501, Roadside Assistance: (877) 798-3752,8,42.1945385,-71.8356271,locality
485,485,Massachusets,Beverly MA Tesla Supercharger, Beverly MA ,,NA,NA,NA,NA
486,486,Massachusets,Boston Supercharger, 800 Boylston Street Boston Massachusetts 02199, Roadside Assistance: (877) 798-3752,8,41.2379665,-73.0360881,establishment
487,487,Massachusets,Boston MA - Allstate Road Supercharger, 101 Allstate Road Boston MA 02125-1663, Roadside Assistance: (877) 798-3752,10,42.325841,-71.0633638,route
488,488,Massachusets,Boston MA - Fenway/Kenmore Tesla Supercharger, Boston MA ,,NA,42.3683613,-71.0770296,establishment
489,489,Massachusets,Boston MA - Seaport Tesla Supercharger, Boston MA ,,NA,42.3683613,-71.0770296,establishment
490,490,Massachusets,Braintree MA Tesla Supercharger, Braintree MA ,,NA,42.2955615,-73.2393218,establishment
491,491,Massachusets,Burlington MA Tesla Supercharger, Burlington MA ,,NA,42.3683613,-71.0770296,establishment
492,492,Massachusets,Cambridge MA Supercharger, 100 Cambridgeside Place Cambridge MA 02141-2215, Roadside Assistance: (877) 798-3752,8,42.3683613,-71.0770296,establishment
493,493,Massachusets,Charlestown MA Tesla Supercharger, Charlestown MA ,,NA,42.3683613,-71.0770296,establishment
494,494,Massachusets,Dedham, 840 Providence Highway Dedham MA 02026 , Roadside Assistance: (877) 798-3752,10,42.2436085,-71.1676536,locality
495,495,Massachusets,Falmouth MA Tesla Supercharger, Falmouth MA ,,NA,41.7811145,-70.5402058,establishment
496,496,Massachusets,Hadley MA Supercharger, 25 Russell Street Hadley MA 01035, Roadside Assistance: (877) 798-3752,12,NA,NA,NA
497,497,Massachusets,Lawrence MA Tesla Supercharger, Lawrence MA ,,NA,42.3683613,-71.0770296,establishment
498,498,Massachusets,Lee Supercharger, 10 Pleasant St. Lee MA 1238, Roadside Assistance: (877) 798-3752,8,42.2955615,-73.2393218,establishment
499,499,Massachusets,Leominster MA Supercharger, 100 Commercial Road Leominster MA 01453-3333, Roadside Assistance: (877) 798-3752,8,42.5296437,-71.7440867,establishment
500,500,Massachusets,Lynnfield MA Tesla Supercharger, Lynnfield MA ,,NA,NA,NA,NA
501,501,Massachusets,Mansfield MA Tesla Supercharger, Mansfield MA ,,NA,42.3683613,-71.0770296,establishment
502,502,Massachusets,Marlborough MA Tesla Supercharger, Marlborough MA ,,NA,NA,NA,NA
503,503,Massachusets,Natick MA Tesla Supercharger, Natick MA ,,NA,42.3022449,-71.3833177,car_dealer
504,504,Massachusets,Orleans MA Tesla Supercharger, Orleans MA ,,NA,41.7811145,-70.5402058,establishment
505,505,Massachusets,Revere MA Tesla Supercharger, Revere MA ,,NA,42.3683613,-71.0770296,establishment
506,506,Massachusets,Sagamore Beach MA Supercharger, 22 Meetinghouse Ln Sagamore Beach MA 2562, Roadside Assistance: (877) 798-3752,8,34.1367208,-118.6614809,locality
507,507,Massachusets,Seekonk MA Tesla Supercharger, Seekonk MA ,,NA,35.5641381,-121.0807468,locality
508,508,Massachusets,Somerville MA Tesla Supercharger, Somerville MA ,,NA,32.8713527,-117.2098944,car_dealer
509,509,Massachusets,South Dennis MA Tesla Supercharger, South Dennis MA ,,NA,32.9805356,-117.0735241,neighborhood
510,510,Massachusets,Waltham MA Tesla Supercharger, Waltham MA ,,NA,NA,NA,NA
511,511,Massachusets,Wareham MA Tesla Supercharger ,Wareham MA ,,NA,33.8583483,-118.0647871,locality
512,512,Massachusets,West Springfield Supercharger, 935 Riverdale Street West Springfield MA 1089, Roadside Assistance: (877) 798-3752,8,39.7284944,-121.8374777,locality
513,513,Michigan,Ann Arbor Supercharger, 3145 Ann Arbor-Saline Road Ann Arbor MI 48103, Roadside Assistance: (877) 798-3752,8,33.9898188,-117.7325848,locality
514,514,Michigan,Atlanta GA - Virginia Highlands Tesla Supercharger, Atlanta MI ,,NA,NA,NA,NA
515,515,Michigan,Auburn Hills MI Supercharger, 800 Brown Road Auburn Hills 48326-1309, Roadside Assistance: (877) 798-3752,NA,34.0005691,-118.1597929,locality
516,516,Michigan,Bay City Supercharger, 2980 E Wilder Rd Bay City MI 48706-9213, Roadside Assistance: (877) 798-3752,8,37.9702025,-122.0585846,establishment
517,517,Michigan,Big Rapids MI Supercharger, 15400 Waldron Way Big Rapids MI 49307-8890, Roadside Assistance: (877) 798-3752,10,39.9264575,-122.1983849,establishment
518,518,Michigan,Cadillac Supercharger, 8605 E. 34 Road Cadillac MI 49601, Roadside Assistance: (877) 798-3752,8,33.8752935,-117.5664384,locality
519,519,Michigan,Claire MI Tesla Supercharger, Claire MI ,,NA,33.67738,-117.880001,car_dealer
520,520,Michigan,Detroit MI Tesla Supercharger, Detroit MI ,,NA,NA,NA,NA
521,521,Michigan,Escanaba MI Tesla Supercharger, Escanaba MI ,,NA,NA,NA,NA
522,522,Michigan,Gaylord MI Tesla Supercharger, Gaylord MI ,,NA,45.0257211,-84.7219742,establishment
523,523,Michigan,Grand Rapids Supercharger, 5531 28th Street SE Grand Rapids MI 49512, Roadside Assistance: (877) 798-3752,8,42.9142158,-85.5329841,establishment
524,524,Michigan,Lansing Supercharger, 2025 Showtime Drive Lansing MI 48912, Roadside Assistance: (877) 798-3752,10,42.7665276,-84.5145698,establishment
525,525,Michigan,Livonia MI Supercharger, 13070 Middlebelt Rd Livonia MI 48150-0000, Roadside Assistance: (877) 798-3752,10,42.3775195,-83.3308473,establishment
526,526,Michigan,Ludington Supercharger, 3900 W US Hwy 10 Ludington MI 49431-7612, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
527,527,Michigan,Mackinaw City MI Tesla Supercharger, Mackinaw City MI ,,NA,NA,NA,NA
528,528,Michigan,Marquette MI Tesla Supercharger, Marquette MI ,,NA,42.2920477,-84.9641597,establishment
529,529,Michigan,Marshall Supercharger, 15252 US Highway 27 N Marshall MI 49068-9620, Roadside Assistance: (877) 798-3752,8,42.2920477,-84.9641597,establishment
530,530,Michigan,Muskegon MI Supercharger, 5300 Harvey Street Muskegon MI 49444-6716, Roadside Assistance: (877) 798-3752,10,43.1560927,-86.2024488,establishment
531,531,Michigan,Novi MI Tesla Supercharger, Novi MI ,,NA,42.5182244,-83.5107386,establishment
532,532,Michigan,Port Huron Supercharger, 500 Thomas Edison Parkway Port Huron MI 48060, Roadside Assistance: (877) 798-3752,8,42.9987838,-82.4289369,establishment
533,533,Michigan,Roseville MI Supercharger, 30800 Little Mack Avenue Roseville MI 48066-1700, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
534,534,Michigan,St. Joseph MI Supercharger, 3260 Niles Rd St. Joseph MI 49085, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
535,535,Michigan,Swartz Creek MI Tesla Supercharger, Swartz Creek MI ,,NA,42.7665276,-84.5145698,establishment
536,536,Michigan,Traverse City Supercharger, 3955 US Highway 31 South Traverse City Michigan 49684, Roadside Assistance: (877) 798-3752,10,44.7431487,-85.6442667,establishment
537,537,Minnesota,Albert Lea MN Supercharger, 811 E Plaza St Albert Lea MN 56007, Roadside Assistance: (877) 798-3752,4,43.686038,-93.3577618,establishment
538,538,Minnesota,Alexandria MN Tesla Supercharger, Alexandria MN ,,NA,45.8848164,-95.3776663,locality
539,539,Minnesota,Baxter Supercharger, 6967 Lake Forest Road Baxter MN 56425, Roadside Assistance: (877) 798-3752,8,46.3483626,-94.2686378,locality
540,540,Minnesota,Bloomington MN Tesla Supercharger, Bloomington MN ,,NA,44.9648202,-92.9603832,establishment
541,541,Minnesota,Clearwater Supercharger, 950 MN-24 Clearwater MN 55320, Roadside Assistance: (877) 798-3752,8,27.9406603,-82.3235499,establishment
542,542,Minnesota,Duluth Supercharger, 200 West 1st Street Duluth MN 55802, Roadside Assistance: (877) 798-3752,4,46.7850379,-92.1020207,establishment
543,543,Minnesota,Hinckley Supercharger, 404 Fire Monument Road Hinckley MN 55037, Roadside Assistance: (877) 798-3752,8,46.0103586,-92.9307228,establishment
544,544,Minnesota,Maple Grove MN Tesla Supercharger, Maple Grove MN ,,NA,44.9648202,-92.9603832,establishment
545,545,Minnesota,Minneapolis MN Tesla Supercharger, Minneapolis MN ,,NA,44.8796967,-93.3994047,car_dealer
546,546,Minnesota,Minnetonka MN Tesla Supercharger, Minnetonka MN ,,NA,44.9648202,-92.9603832,establishment
547,547,Minnesota,Oakdale Supercharger, 7180 10th St N Oakdale MN 55128, Roadside Assistance: (877) 798-3752,8,44.9648202,-92.9603832,establishment
548,548,Minnesota,Richfield MN Tesla Supercharger, Richfield MN ,,NA,44.9648202,-92.9603832,establishment
549,549,Minnesota,Rochester MN Supercharger, 500 Crossroads Dr Rochester MN 55902-2183, Roadside Assistance: (877) 798-3752,8,44.0121221,-92.4801989,locality
550,550,Minnesota,Sherburn MN Supercharger, 600 MN-4 Sherburn MN 56171-0000, Roadside Assistance: (877) 798-3752,8,43.6546148,-94.7268677,locality
551,551,Minnesota,St Paul MN Tesla Supercharger, St Paul MN ,,NA,NA,NA,NA
552,552,Minnesota,St. Louis Park MN Tesla Supercharger, St. Louis Park MN ,,NA,44.9648202,-92.9603832,establishment
553,553,Minnesota,Worthington MN Supercharger, 1290 Ryans Rd Worthington MN 56187, Roadside Assistance: (877) 798-3752,6,43.633899,-95.5956077,establishment
554,554,Mississippi,Brookhaven MS Tesla Supercharger, Brookhaven MS ,,NA,32.2742158,-90.1510204,establishment
555,555,Mississippi,Grenada Supercharger, 2030 Sunset Dr Grenada MS 38901-2826, Roadside Assistance: (877) 798-3752,8,33.787408,-89.849546,establishment
556,556,Mississippi,Hattiesburg MS Tesla Supercharger, Hattiesburg MS ,,NA,31.3271189,-89.2903392,locality
557,557,Mississippi,Meridian Supercharger, 1210 Bonita Lakes Drive Meridian MS 39301, Roadside Assistance: (877) 798-3752,8,32.3578071,-88.6711411,establishment
558,558,Mississippi,Pearl MS Supercharger, 200 Bass Pro Drive Pearl MS 39208, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
559,559,Mississippi,Tupelo Supercharger, 1001 Barnes Crossing Rd Tupelo MS 38804-0902, Roadside Assistance: (877) 798-3752,8,34.311523,-88.7008222,establishment
560,560,Missouri,Bethany MO Tesla Supercharger, Bethany MO ,,NA,40.2683344,-94.0282861,locality
561,561,Missouri,Brentwood MO Tesla Supercharger, Brentwood MO ,,NA,NA,NA,NA
562,562,Missouri,Columbia Supercharger, 915 Port Way Columbia MO 65201, Roadside Assistance: (877) 798-3752,8,34.106319,-80.950723,establishment
563,563,Missouri,Independence Supercharger, 18011 E Bass Pro Drive Independence MO 64055, Roadside Assistance: (877) 798-3752,6,39.0407608,-94.3691817,establishment
564,564,Missouri,Joplin Supercharger, 3615 Range Line Rd. Joplin MO 64804-4447, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
565,565,Missouri,Kansas City MO Supercharger, 8301 North Saint Clair Avenue Kansas City MO 64151, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
566,566,Missouri,Mehlville MO Tesla Supercharger, Mehlville MO ,,NA,NA,NA,NA
567,567,Missouri,Miner Supercharger, 2612 E Malone Ave. Miner MO 63801, Roadside Assistance: (877) 798-3752,8,36.8932275,-89.5341003,establishment
568,568,Missouri,Osage Beach Supercharger, 929 Hwy D Osage Beach MO 65065-3169, Roadside Assistance: (877) 798-3752,8,38.161642,-92.60676,establishment
569,569,Missouri,Rolla Supercharger, 1705 Martin Springs Drive Rolla MO 65401, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
570,570,Missouri,Springfield MO Supercharger, 3050 N. Kentwood Ave. Springfield MO 65803-4414, Roadside Assistance: (877) 798-3752,8,37.2521094,-93.2652146,establishment
571,571,Missouri,St Joseph MO Tesla Supercharger, St Joseph MO ,,NA,NA,NA,NA
572,572,Missouri,St. Charles Supercharger, 2021 Zumbehl Road St. Charles MO 63303, Roadside Assistance: (877) 798-3752,5,38.7821175,-90.5328302,establishment
573,573,Missouri,St. Louis MO Tesla Supercharger, St. Louis MO ,,NA,NA,NA,NA
574,574,Montana,Big Timber MT Supercharger, 228 Big Timber Loop Rd Big Timber MT 59011, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
575,575,Montana,Bighorn MT Tesla Supercharger, Bighorn MT ,,NA,NA,NA,NA
576,576,Montana,Billings MT Supercharger, 1801 Majestic Ln Billings MT 59102, Roadside Assistance: (877) 798-3752,4,45.734061,-108.604939,establishment
577,577,Montana,Bozeman MT Supercharger, 2023 Commerce Way Bozeman MT 59715, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
578,578,Montana,Butte Supercharger, 2900 Harrison Ave. Butte MT 59701, Roadside Assistance: (877) 798-3752,6,45.9812236,-112.5070623,establishment
579,579,Montana,Glendive MT Tesla Supercharger, Glendive MT ,,NA,47.106401,-104.7107931,locality
580,580,Montana,Great Falls MT Tesla Supercharger, Great Falls MT ,,NA,47.5052849,-111.3007715,locality
581,581,Montana,Helena MT Tesla Supercharger, Helena MT ,,NA,46.5891452,-112.0391057,locality
582,582,Montana,Kalispell MT Tesla Supercharger, Kalispell MT ,,NA,48.1919889,-114.316813,locality
583,583,Montana,Lima MT Supercharger, 108 Bailey Street Lima MT 59739, Roadside Assistance: (877) 798-3752,8,44.6368563,-112.5919506,locality
584,584,Montana,Miles City MT Tesla Supercharger, Miles City MT ,,NA,NA,NA,NA
585,585,Montana,Missoula Supercharger, 5280 Grant Creek Rd Missoula MT 59808, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
586,586,Montana,Shelby MT Tesla Supercharger, Shelby MT ,,NA,48.5066603,-111.8561447,locality
587,587,Montana,Superior Supercharger, 205 4th Ave. East Superior MT 59872, Roadside Assistance: (877) 798-3752,4,47.1915937,-114.8917978,locality
588,588,Montana,West Yellowstone Supercharger, West Yellowstone MT 59758, Roadside Assistance: (877) 798-3752,8,44.6621493,-111.1041092,locality
589,589,Nebraska,Gothenburg Supercharger, 318 Platte River Road Gothenburg NE 69138-2610, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
590,590,Nebraska,Grand Island Supercharger, 3335 West Wood River Road Grand Island NE 68803-9117, Roadside Assistance: (877) 798-3752,8,40.9263957,-98.3420118,locality
591,591,Nebraska,Lincoln NE Supercharger, 5020 N 27th Street Lincoln NE 68521-1196, Roadside Assistance: (877) 798-3752,8,40.860876,-96.679665,establishment
592,592,Nebraska,Ogallala Supercharger, 501 Stagecoach Trail Ogallala NE 69153-3118, Roadside Assistance: (877) 798-3752,8,41.1159819,-101.7093734,establishment
593,593,Nebraska,Sidney Supercharger, 645 Cabela Drive Sidney NE 69162-3047, Roadside Assistance: (877) 798-3752,8,41.1448219,-102.9774497,locality
594,594,Neveda,Beatty NV Supercharger, 900 Hwy 95 N Beatty NV 89003, Roadside Assistance: (877) 798-3752,8,36.9137178,-116.7543855,establishment
595,595,Neveda,Elko Supercharger, 2755 Mountain City Highway Elko NV 89801, Roadside Assistance: (877) 798-3752,6,40.8324211,-115.7631232,locality
596,596,Neveda,Gardnerville Supercharger, 1979 US 395 Gardnerville NV 89410, Roadside Assistance: (877) 798-3752,6,38.6949013,-119.5480737,establishment
597,597,Neveda,Hawthorne Supercharger, 705 Hwy 362 Hawthorne Hawthorne NV 89415, Roadside Assistance: (877) 798-3752,8,33.9164032,-118.3525748,locality
598,598,Neveda,Incline Village NV Tesla Supercharger, Incline Village NV ,,NA,38.6949013,-119.5480737,establishment
599,599,Neveda,Las Vegas Blvd South Supercharger, 6509 S Las Vegas Blvd Las Vegas NV 89119-3240, Roadside Assistance: (877) 798-3752,10,36.070731,-115.172893,establishment
600,600,Neveda,Las Vegas NV - Henderson Tesla Supercharger, Las Vegas NV ,,NA,NA,NA,NA
601,601,Neveda,Las Vegas NV Supercharger, 701 Bridger Ave Las Vegas NV 89101, Roadside Assistance: (877) 798-3752,6,36.1659335,-115.1386868,establishment
602,602,Neveda,Lovelock Supercharger, 150 Main St. Lovelock NV 89419, Roadside Assistance: (877) 798-3752,4,40.1794715,-118.4721493,establishment
603,603,Neveda,Primm Supercharger, 31900 Las Vegas Blvd S Primm NV 89019, Roadside Assistance: (877) 798-3752,10,35.6106337,-115.387942,establishment
604,604,Neveda,Primm NV Tesla Supercharger, Primm NV ,,NA,NA,NA,NA
605,605,Neveda,Reno Supercharger, 3800 S Virginia St. Reno NV 89502, Roadside Assistance: (877) 798-3752,6,39.4889497,-119.7937189,establishment
606,606,Neveda,Reno NV Tesla Supercharger, Reno NV ,,NA,39.4889497,-119.7937189,establishment
607,607,Neveda,Stateline Supercharger, 50 US-50 Stateline NV 89449, Roadside Assistance: (877) 798-3752,14,38.9634249,-119.9404863,establishment
608,608,Neveda,Tonopah Supercharger, 171 Main St. Tonopah NV 89049, Roadside Assistance: (877) 798-3752,8,38.069211,-117.2305861,locality
609,609,Neveda,West Wendover Supercharger, 810 W Wendover Blvd. West Wendover NV 89883, Roadside Assistance: (877) 798-3752,6,40.7383713,-114.0589646,establishment
610,610,Neveda,Winnemucca Supercharger, 1985 W Winnemucca Blvd. Winnemucca NV 89446, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
611,611,New Hampshire,Hooksett (Northbound) Supercharger, Northbound I-93 Hooksett NH 3106, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
612,612,New Hampshire,Hooksett (Southbound) Supercharger, Southbound I-93 Hooksett NH 3106, Roadside Assistance: (877) 798-3752,6,43.1083778,-71.4776658,establishment
613,613,New Hampshire,Lincoln Supercharger, 22 South Mountain Lincoln NH 3251, Roadside Assistance: (877) 798-3752,6,40.860876,-96.679665,establishment
614,614,New Hampshire,North Conway NH Tesla Supercharger, North Conway NH ,,NA,43.6235321,-72.3258355,establishment
615,615,New Hampshire,Rochester NH Tesla Supercharger, Rochester NH ,,NA,43.1095768,-71.4745406,establishment
616,616,New Hampshire,Seabrook Supercharger, 700 Lafayette Road Seabrook NH 3874, Roadside Assistance: (877) 798-3752,8,42.8909615,-70.8655074,locality
617,617,New Hampshire,West Lebanon Supercharger, 285 N. Plainfield Road West Lebanon NH 3784, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
618,618,New Hampshire,Wolfeboro NH Tesla Supercharger, Wolfeboro NH ,,NA,NA,NA,NA
619,619,New Jersey,Barnegat Township NJ Tesla Supercharger, Barnegat TownshipNJ ,,NA,40.1954048,-74.641069,establishment
620,620,New Jersey,Bridgewater NJ Tesla Supercharger, Bridgewater NJ ,,NA,NA,NA,NA
621,621,New Jersey,Burlington NJ Supercharger, 2060 US-130 Burlington New Jersey 08016-0000, Roadside Assistance: (877) 798-3752,NA,40.1017551,-74.7932786,establishment
622,622,New Jersey,Cape May NJ Tesla Supercharger, Cape May NJ ,,NA,39.3935758,-74.5624951,establishment
623,623,New Jersey,Cherry Hill NJ Tesla Supercharger, Cherry Hill NJ ,,NA,39.916809,-75.029623,car_dealer
624,624,New Jersey,Cranbury Supercharger, Mile Marker 71.7 New Jersey Turnpike Cranbury NJ 8512, Roadside Assistance: (877) 798-3752,4,40.3025907,-74.511172,locality
625,625,New Jersey,Deptford Township NJ Tesla Supercharger, Deptford Township NJ ,,NA,NA,NA,NA
626,626,New Jersey,East Brunswick Supercharger, Mile Marker 78 New Jersey Turnpike North East Brunswick NJ 8816, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
627,627,New Jersey,Edgewater NJ Tesla Supercharger, Edgewater NJ ,,NA,40.957558,-74.0738599,car_dealer
628,628,New Jersey,Edison NJ Supercharger, 55 Parsonage Rd. Edison NJ 8837, Roadside Assistance: (877) 798-3752,8,40.5445771,-74.334005,establishment
629,629,New Jersey,Egg Harbor Township Supercharger, 3121 Fire Road Egg Harbor Township NJ 8234, Roadside Assistance: (877) 798-3752,8,39.3935758,-74.5624951,establishment
630,630,New Jersey,Elizabeth NJ Tesla Supercharger, Elizabeth NJ ,,NA,40.6860184,-74.3166605,car_dealer
631,631,New Jersey,Hackensack NJ Tesla Supercharger, Hackensack NJ ,,NA,40.813953,-74.4688944,establishment
632,632,New Jersey,Hamilton Township Supercharger, 425 Market Place Blvd Hamilton NJ 8691, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
633,633,New Jersey,Hamilton Township NJ Tesla Supercharger, Hamilton Township NJ ,,NA,NA,NA,NA
634,634,New Jersey,Jersey City NJ - Mall Drive West Supercharger, 30 Mall Drive West Jersey City NJ 07310-1615, Roadside Assistance: (877) 798-3752,20,NA,NA,NA
635,635,New Jersey,Jersey City NJ 1st Street Supercharger,  160 First Street Jersey City NJ 07302, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
636,636,New Jersey,Mount Laurel NJ Tesla Supercharger, Mount Laurel NJ ,,NA,40.813953,-74.4688944,establishment
637,637,New Jersey,Newark NJ Tesla Supercharger, Newark NJ ,,NA,40.813953,-74.4688944,establishment
